Date, Open, High, Low, Close, Volume
06/14/19,17.7,17.8,17,17.7,3400
06/13/19,17,17.45,16.65,17,2800
06/12/2019,16.55,16.65,15.25,16.55,23400
06/11/2019,16.65,16.7,16.25,16.65,2100
06/10/2019,15.25,16,15,15.25,800
06/07/2019,14.95,15,14.95,14.95,25900
06/06/2019,14.55,15,14.5,14.55,1200
06/04/2019,15,15,15,15,100
06/03/2019,15,15,15,15,1800
05/31/19,14.25,15,14.1,14.25,2500
05/30/19,14.25,14.35,14.15,14.25,500
05/29/19,14.55,15,14.5,14.55,13100
05/28/19,14.35,14.35,14.35,14.35,200
05/27/19,14.25,14.25,14.25,14.25,200
05/24/19,14.35,14.95,14.1,14.35,1800
05/23/19,14.15,14.2,14,14.15,2200
05/22/19,14.2,15,14,14.2,1400
05/21/19,14.5,14.5,14.5,14.5,100
05/17/19,15,15,15,15,1200
05/16/19,14.6,15,14.5,14.6,3800
05/15/19,14.95,15.5,14.85,14.95,1200
05/14/19,15.35,15.5,15,15.35,9900
05/13/19,15.65,16.5,15,15.65,900
05/10/2019,15.6,16,15.5,15.6,3900
05/09/2019,15,15,15,15,1000
05/08/2019,15,15.15,15,15,2800
05/07/2019,15.5,15.5,15.5,15.5,2100
05/06/2019,16.1,17,16,16.1,1500
05/02/2019,16,16,16,16,100
04/30/19,15.5,15.5,15.5,15.5,100
04/29/19,15.6,15.75,15.5,15.6,2200
04/26/19,15.75,16,15.2,15.75,1200
04/25/19,15.5,15.5,15.5,15.5,23700
04/24/19,15.2,15.2,15.2,15.2,300
04/23/19,15.15,15.2,15.15,15.15,1300
04/18/19,15.2,15.3,15.2,15.2,17300
04/17/19,15.05,15.1,15.05,15.05,6900
04/16/19,15.15,15.2,15.05,15.15,9700
04/15/19,15.05,15.2,15.05,15.05,1800
04/12/2019,15.2,15.5,15,15.2,86900
04/11/2019,15.1,15.3,15.05,15.1,13500
04/10/2019,15.45,15.45,15.45,15.45,200
04/09/2019,15,15.45,14.5,15,900
04/08/2019,15.15,15.45,15,15.15,2100
04/05/2019,15.45,15.5,15.3,15.45,2500
04/04/2019,15.3,15.7,15.25,15.3,3500
04/03/2019,16.2,17,15.7,16.2,4400
04/02/2019,16.9,17.6,16.7,16.9,600
04/01/2019,16.7,17,16.3,16.7,500
03/28/19,16,16,16,16,100
03/27/19,15.8,16,15.05,15.8,1900
03/26/19,15.05,15.8,15,15.05,25900
03/25/19,16.2,16.5,15.8,16.2,3600
03/22/19,17.4,17.9,16.5,17.4,25700
03/21/19,17.4,18,16.3,17.4,6500
03/20/19,16.45,18,16.2,16.45,5500
03/19/19,18,18.1,18,18,1200
03/18/19,18,18,18,18,100
03/15/19,18.4,18.45,17.75,18.4,2500
03/14/19,18.05,18.45,17.5,18.05,500
03/13/19,18.5,18.5,18.5,18.5,100
03/11/2019,17.15,18.15,16.15,17.15,15600
03/08/2019,17,17.05,17,17,2000
03/07/2019,17.05,17.5,17,17.05,8600
03/06/2019,17.4,17.4,17.4,17.4,153800
03/05/2019,17.5,17.55,17.4,17.5,153800
03/04/2019,17.4,17.5,17,17.4,800
03/01/2019,17.55,17.95,17.2,17.55,300
02/28/19,18.85,19,17.6,18.85,2700
02/27/19,17.9,19,17.5,17.9,800
02/26/19,19.25,20,18.5,19.25,200
02/25/19,18.2,19,18,18.2,1400
02/22/19,19.05,20.5,18,19.05,44600
02/21/19,19,20,19,19,58100
02/20/19,19,20.8,19,19,25200
02/19/19,19,19,19,19,93500
02/18/19,20.55,20.9,19.75,20.55,400
